name,size
java.lang.InstantiationException,13407.0
java.lang.instrument,
java.lang.instrument.ClassDefinition,13779.0
java.lang.instrument.ClassFileTransformer,18673.0
java.lang.instrument.IllegalClassFormatException,13884.0
java.lang.instrument.Instrumentation,59419.0
java.lang.instrument.UnmodifiableClassException,13280.0
java.lang.Integer,106646.0
java.lang.InternalError,16128.0
java.lang.InterruptedException,13550.0
java.lang.invoke,
java.lang.invoke.CallSite,19726.0
java.lang.invoke.ConstantCallSite,23016.0
java.lang.invoke.LambdaConversionException,16923.0
java.lang.invoke.LambdaMetafactory,44500.0
java.lang.invoke.MethodHandle,89456.0
java.lang.invoke.MethodHandleInfo,40189.0
java.lang.invoke.MethodHandleProxies,21683.0
java.lang.invoke.MethodHandles,95490.0
java.lang.invoke.MethodHandles.Lookup,104097.0
java.lang.invoke.MethodType,67345.0
java.lang.invoke.MutableCallSite,30349.0
java.lang.invoke.SerializedLambda,30110.0
java.lang.invoke.SwitchPoint,23173.0
java.lang.invoke.VolatileCallSite,20452.0
java.lang.invoke.WrongMethodTypeException,13456.0
java.lang.Iterable,21805.0
java.lang.LinkageError,14649.0
java.lang.Long,106101.0
java.lang.management,
java.lang.management.BufferPoolMXBean,14268.0
java.lang.management.ClassLoadingMXBean,15680.0
java.lang.management.CompilationMXBean,14449.0
java.lang.management.GarbageCollectorMXBean,14203.0
java.lang.management.LockInfo,19438.0
java.lang.management.ManagementFactory,71888.0
java.lang.management.ManagementPermission,16923.0
java.lang.management.MemoryManagerMXBean,13832.0
java.lang.management.MemoryMXBean,25901.0
java.lang.management.MemoryNotificationInfo,26074.0
java.lang.management.MemoryPoolMXBean,51613.0
java.lang.management.MemoryType,17899.0
java.lang.management.MemoryUsage,22588.0
java.lang.management.MonitorInfo,18806.0
java.lang.management.OperatingSystemMXBean,18247.0
java.lang.management.PlatformLoggingMXBean,19082.0
java.lang.management.PlatformManagedObject,12324.0
java.lang.management.RuntimeMXBean,36124.0
java.lang.management.ThreadInfo,44282.0
java.lang.management.ThreadMXBean,69096.0
java.lang.Math,129239.0
java.lang.NegativeArraySizeException,12992.0
java.lang.NoClassDefFoundError,13171.0
java.lang.NoSuchFieldError,13116.0
java.lang.NoSuchFieldException,12658.0
java.lang.NoSuchMethodError,13180.0
java.lang.NoSuchMethodException,12871.0
java.lang.NullPointerException,13638.0
java.lang.Number,19312.0
java.lang.NumberFormatException,13208.0
java.lang.Object,43427.0
java.lang.OutOfMemoryError,13047.0
java.lang.Override,7545.0
java.lang.Package,47629.0
java.lang.Process,27129.0
java.lang.ProcessBuilder,59912.0
java.lang.ProcessBuilder.Redirect,25411.0
java.lang.ProcessBuilder.Redirect.Type,18941.0
java.lang.Readable,11211.0
java.lang.ref,
java.lang.ref.PhantomReference,15242.0
java.lang.ref.Reference,13982.0
java.lang.ref.ReferenceQueue,16365.0
java.lang.ref.SoftReference,17002.0
java.lang.ref.WeakReference,13376.0
java.lang.reflect,
java.lang.reflect.AccessibleObject,37949.0
java.lang.reflect.AnnotatedArrayType,11652.0
java.lang.reflect.AnnotatedElement,37939.0
java.lang.reflect.AnnotatedParameterizedType,11792.0
java.lang.reflect.AnnotatedType,11550.0
java.lang.reflect.AnnotatedTypeVariable,11604.0
java.lang.reflect.AnnotatedWildcardType,12703.0
java.lang.reflect.Array,63168.0
java.lang.reflect.Constructor,60911.0
java.lang.reflect.Executable,51131.0
java.lang.reflect.Field,93956.0
java.lang.reflect.GenericArrayType,11198.0
java.lang.reflect.GenericDeclaration,12223.0
java.lang.reflect.GenericSignatureFormatError,13612.0
java.lang.reflect.InvocationHandler,14082.0
java.lang.reflect.InvocationTargetException,19132.0
java.lang.reflect.MalformedParameterizedTypeException,12480.0
java.lang.reflect.MalformedParametersException,14196.0
java.lang.reflect.Member,15803.0
java.lang.reflect.Method,66573.0
java.lang.reflect.Modifier,44036.0
java.lang.reflect.Parameter,40151.0
java.lang.reflect.ParameterizedType,14646.0
java.lang.reflect.Proxy,38777.0
java.lang.reflect.ReflectPermission,16752.0
java.lang.reflect.Type,10178.0
java.lang.reflect.TypeVariable,17392.0
java.lang.reflect.UndeclaredThrowableException,19765.0
java.lang.reflect.WildcardType,12955.0
